sexo,escolaridade,renda,regiao,idade,q1_cotas,q2_clima
Feminino,Ensino Médio,Mais de 1 a 2 SM,Centro-Oeste,36.0,Concorda,Concorda
Feminino,Ensino Superior,Mais de 2 a 5 SM,Centro-Oeste,51.0,Concorda,Discorda
Masculino,Ensino Fundamental,Mais de 1 a 2 SM,Centro-Oeste,67.0,Concorda,Concorda
Masculino,Sem escolaridade,Até 1 SM,Centro-Oeste,18.0,Concorda,Discorda
Feminino,Ensino Fundamental,Até 1 SM,Sudeste,83.0,Concorda,Discorda
Masculino,Ensino Médio,Mais de 1 a 2 SM,Sul,30.0,Concorda,Discorda
Masculino,Ensino Fundamental,Até 1 SM,Centro-Oeste,20.0,Concorda,Concorda
Feminino,Ensino Fundamental,Sem renda,Sul,54.0,Concorda,Concorda
Feminino,Ensino Fundamental,Até 1 SM,Centro-Oeste,59.0,Discorda,Concorda
Feminino,Ensino Superior,Mais de 1 a 2 SM,Sudeste,35.0,Concorda,Discorda
Feminino,Ensino Médio,Até 1 SM,Sul,55.0,Concorda,Concorda
Masculino,Ensino Superior,Mais de 10 a 20 SM,Sul,56.0,Neutro,Concorda
Masculino,Ensino Médio,Mais de 1 a 2 SM,Sudeste,28.0,Concorda,Concorda
Masculino,Ensino Fundamental,Mais de 1 a 2 SM,Sudeste,58.0,Concorda,Concorda
Feminino,Ensino Médio,Até 1 SM,Sudeste,63.0,Concorda,Concorda
Masculino,Ensino Médio,Mais de 2 a 5 SM,Sudeste,44.0,Concorda,Concorda
Feminino,Ensino Superior,Até 1 SM,Norte,22.0,Concorda,Concorda
Feminino,Ensino Médio,Mais de 1 a 2 SM,Sudeste,46.0,Concorda,Concorda
Masculino,Ensino Fundamental,Até 1 SM,Sudeste,67.0,Concorda,Concorda
Feminino,Ensino Médio,Mais de 2 a 5 SM,Sul,49.0,Concorda,Concorda
Feminino,Ensino Superior,Mais de 1 a 2 SM,Sudeste,50.0,Discorda,Concorda
Feminino,Ensino Fundamental,Até 1 SM,Nordeste,38.0,Concorda,Concorda
Feminino,Ensino Fundamental,Até 1 SM,Sudeste,51.0,Concorda,Concorda
Masculino,Ensino Médio,Mais de 2 a 5 SM,Sudeste,39.0,Concorda,Concorda
Feminino,Ensino Médio,Até 1 SM,Sudeste,26.0,Concorda,Concorda
Feminino,Ensino Fundamental,Até 1 SM,Sudeste,40.0,Concorda,Concorda
Feminino,Ensino Fundamental,Até 1 SM,Sudeste,51.0,Concorda,Concorda
Feminino,Ensino Fundamental,Mais de 1 a 2 SM,Sudeste,39.0,Concorda,Concorda
Feminino,Ensino Médio,Até 1 SM,Norte,25.0,Concorda,Discorda
Feminino,Ensino Superior,Até 1 SM,Sul,62.0,Concorda,Concorda
Feminino,Ensino Médio,Sem renda,Centro-Oeste,49.0,Concorda,Discorda
Masculino,Ensino Médio,Até 1 SM,Sudeste,36.0,Concorda,Concorda
Masculino,Ensino Superior,Mais de 1 a 2 SM,Sudeste,36.0,Neutro,Concorda
Feminino,Ensino Médio,Sem renda,Centro-Oeste,50.0,Discorda,Concorda
Feminino,Ensino Médio,Mais de 1 a 2 SM,Sudeste,24.0,Concorda,Concorda
Masculino,Ensino Superior,Até 1 SM,Sudeste,66.0,Concorda,Concorda
Feminino,Ensino Médio,Sem renda,Sudeste,46.0,Concorda,Discorda
Feminino,Ensino Médio,Mais de 1 a 2 SM,Sudeste,27.0,Concorda,Concorda
Masculino,Ensino Médio,Mais de 10 a 20 SM,Centro-Oeste,40.0,Concorda,Concorda
Feminino,Ensino Fundamental,Mais de 1 a 2 SM,Sudeste,28.0,Concorda,Concorda
Feminino,Ensino Superior,Mais de 1 a 2 SM,Sul,35.0,Concorda,Concorda
Feminino,Ensino Médio,Sem renda,Nordeste,24.0,Concorda,Concorda
Feminino,Ensino Fundamental,Sem renda,Nordeste,39.0,Concorda,Concorda
Masculino,Ensino Fundamental,Até 1 SM,Nordeste,27.0,Concorda,Concorda
Masculino,Ensino Médio,Até 1 SM,Nordeste,21.0,Concorda,Discorda
Feminino,Ensino Médio,Sem renda,Nordeste,30.0,Discorda,Concorda
Feminino,Ensino Fundamental,Até 1 SM,Sul,33.0,Concorda,Neutro
Masculino,Ensino Médio,Mais de 2 a 5 SM,Nordeste,47.0,Concorda,Discorda
Feminino,Ensino Médio,Mais de 1 a 2 SM,Sul,50.0,Concorda,Discorda
Feminino,Ensino Fundamental,Até 1 SM,Sul,65.0,Concorda,Concorda
Feminino,Ensino Médio,Até 1 SM,Sul,56.0,Concorda,Concorda
Masculino,Ensino Superior,Mais de 2 a 5 SM,Sul,59.0,Concorda,Concorda
Masculino,Ensino Médio,Mais de 2 a 5 SM,Sul,23.0,Concorda,Discorda
Feminino,Ensino Fundamental,Mais de 2 a 5 SM,Sul,80.0,Discorda,Discorda
Feminino,Ensino Superior,Mais de 2 a 5 SM,Sul,26.0,Discorda,Discorda
Masculino,Ensino Superior,Mais de 1 a 2 SM,Sul,44.0,Concorda,Discorda
Feminino,Ensino Médio,Sem renda,Sudeste,24.0,Discorda,Concorda
Masculino,Ensino Fundamental,Mais de 2 a 5 SM,Sudeste,60.0,Concorda,Concorda
Feminino,Ensino Médio,Mais de 1 a 2 SM,Centro-Oeste,38.0,Concorda,Concorda
